cycle,measured_temp_c,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity
10,29.05625,0.19178826154196998,0.30504775212162666,0.21705249454619666,0.0388412109375,0.32292545572916664,0.3647215494791667,0.41292265624999996,0.4655621744791667,0.4606326171875,0.45459433593750004,0.2655774739583333,0.10157725134971428,0.811598866750439,759.54,27.741799999999998,74.7436
11,29.05,0.18786207439101002,0.30321132961190334,0.21987028852029666,0.0390662109375,0.3250720703125,0.3671204427083333,0.4149673828125,0.4679006510416666,0.4629352864583333,0.4569737630208333,0.26701217447916664,0.0856531588623554,0.8258128886251149,726.4,27.706999999999997,74.1566
12,29.07,0.18296851754771665,0.30051193313686336,0.22355098959810665,0.03939850260416666,0.32786171875,0.37041829427083334,0.4186095703125,0.47207597656249994,0.46695305989583336,0.46085247395833334,0.26945110677083334,0.07713698748324825,0.8441754756737693,736.82,27.7046,73.7758
13,28.997142857142855,0.17989879920974333,0.2990609384510433,0.22589266774068997,0.039500390625,0.3286419921875,0.37131634114583334,0.419803515625,0.4734789713541666,0.4682895182291667,0.462151171875,0.27024498697916666,0.07340272138656896,0.8556383569878793,738.8,27.584400000000002,73.7662
14,28.98875,0.17612015840425668,0.29676588808390336,0.22893849032045333,0.0397720703125,0.330948828125,0.3740244791666667,0.4229077473958333,0.47692324218750004,0.47162369791666664,0.4653912760416667,0.2722557942708333,0.06772390847234028,0.8716324501906771,748.56,27.5064,73.92779999999999
15,29.062857142857144,0.17343418361710666,0.29511679744316666,0.2311400404869433,0.0399306640625,0.33225234375,0.37554635416666665,0.42463118489583335,0.4788264322916667,0.47346197916666666,0.46716972656250005,0.2733978515625,0.057535286879042254,0.8827910478162324,761.84,27.4712,74.24680000000001
16,28.96625,0.17137958143831666,0.2938671950639067,0.23271386686292,0.0399572265625,0.3325197916666667,0.3758529947916667,0.424943359375,0.47914283854166667,0.47375240885416664,0.4674462890625,0.2735759765625,0.05141731339509028,0.8901677483006911,765.68,27.4514,74.4856
17,29.027142857142856,0.16794189268211335,0.29133233879680004,0.23563347921162,0.04025110677083333,0.3351843098958333,0.3789673828125,0.4283367838541667,0.48284700520833335,0.47755651041666664,0.4710813151041666,0.27582858072916666,0.04958450452904483,0.905708374889507,792.64,27.439,74.4482
18,28.975,0.16688061830137332,0.2907949108827667,0.23660591981059667,0.04028040364583333,0.33545423177083333,0.379175390625,0.428261328125,0.48293932291666664,0.47754980468749997,0.47112063802083337,0.2758642578125,0.042726040124868796,0.9100637027683547,822.82,27.395599999999998,74.6046
19,28.97,0.16494302831721666,0.28944352401712997,0.2384572160242,0.04041393229166667,0.3366117838541667,0.38050813802083333,0.4297270182291667,0.48467239583333327,0.47924134114583333,0.47276295572916666,0.27690240885416667,0.043446739674904436,0.9192749386886279,798.64,27.361,74.5146
20,28.98375,0.16481125931507998,0.28968611439926,0.23842860601924334,0.040209830729166667,0.3351203125,0.3785536458333333,0.42715644531249997,0.4817197916666667,0.47649746093749995,0.47011914062500004,0.27528899739583335,0.040922024107296166,0.919177332910303,719.74,27.356199999999998,74.0938
21,29.044285714285714,0.16272257053488665,0.2881041226472967,0.24043752429560333,0.04036953125,0.3363337890625,0.380046875,0.42884902343750003,0.48377792968749994,0.47842760416666663,0.4720160807291667,0.27646686197916664,0.03316743079458392,0.9296367185399406,697.54,27.3154,74.1158
22,29.06375,0.16430926811959334,0.28979677959347333,0.23902177831540333,0.03995572916666667,0.33344329427083336,0.37625709635416665,0.42363209635416665,0.47789348958333333,0.47291894531250006,0.46680540364583334,0.27328209635416667,0.022568102012094735,0.9212348240071649,698.3,27.3232,74.44720000000001
23,29.009999999999998,0.16414232676331666,0.28978186297872,0.23916962289809335,0.0399111328125,0.3332287760416667,0.37580657552083335,0.42263873697916665,0.4771110677083333,0.4721549479166667,0.46618600260416665,0.272923828125,0.020255412211555943,0.921845323797528,728.42,27.3904,74.6426
24,29.04625,0.16432201192188667,0.29016584635753334,0.23925548105496333,0.039793424479166666,0.3322366536458334,0.3745170572916667,0.42106927083333334,0.4755125,0.47060032552083336,0.4647525390625,0.2720482421875,0.02039004555965505,0.9216863198666829,663.84,27.2762,74.1404
25,29.122857142857146,0.16456175000592668,0.29061673767038004,0.23896596401178002,0.03967200520833333,0.3311377604166667,0.37324798177083335,0.41942311197916665,0.473742578125,0.46903802083333335,0.4632537109375,0.2711041015625,0.01661754959580488,0.9197812208420941,541.22,27.253200000000003,73.4378
26,29.2275,0.16398598582102333,0.29018800904940667,0.23937881826205,0.039668424479166665,0.3311579427083333,0.3732087890625,0.4191138671875,0.4734958984375,0.46883763020833336,0.46310546875,0.2710572265625,0.017518376104996528,0.9223048796387049,550.6,27.5882,72.8052
27,29.172857142857143,0.16499234389568335,0.29127449451243,0.23840491984881665,0.03936647135416666,0.3281272786458333,0.36991295572916666,0.4159744791666667,0.4700770182291667,0.46544186197916665,0.4599014973958333,0.2690333333333333,0.015910128127344825,0.9172428076092,634.02,27.636799999999997,73.321
28,29.08875,0.16561577208897668,0.29192256982304005,0.23794263820752667,0.03926184895833333,0.32693164062499996,0.36870839843750003,0.4150685546875,0.4690584635416667,0.46446419270833333,0.45891041666666665,0.2683815104166667,0.0033912250072097904,0.9151482974223426,628.5,27.628200000000003,73.406
