experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-04T00:36:11.382Z,UpdatedHeaterDC,delta_dc=-3.359999999999989,"{""current_dc"": 0.0, ""delta_dc"": -3.359999999999989, ""target_temperature"": 28.0, ""latest_temperature"": 30.31}",2026-09-04 06:21:11.382,1598.242222222222
Pulse experiments,pioreactor01,2026-09-04T00:39:28.603Z,UpdatedHeaterDC,delta_dc=-3.4059999999999966,"{""current_dc"": 0.0, ""delta_dc"": -3.4059999999999966, ""target_temperature"": 28.0, ""latest_temperature"": 30.31}",2026-09-04 06:24:28.603,1598.296944444445
Pulse experiments,pioreactor01,2026-09-04T00:42:46.465Z,UpdatedHeaterDC,delta_dc=-3.334000000000011,"{""current_dc"": 0.0, ""delta_dc"": -3.334000000000011, ""target_temperature"": 28.0, ""latest_temperature"": 30.3}",2026-09-04 06:27:46.465,1598.351944444444
Pulse experiments,pioreactor01,2026-09-04T00:46:09.085Z,UpdatedHeaterDC,delta_dc=-3.4519999999999875,"{""current_dc"": 0.0, ""delta_dc"": -3.4519999999999875, ""target_temperature"": 28.0, ""latest_temperature"": 30.31}",2026-09-04 06:31:09.085,1598.408333333333
Pulse experiments,pioreactor01,2026-09-04T00:49:24.649Z,UpdatedHeaterDC,delta_dc=-3.4059999999999966,"{""current_dc"": 0.0, ""delta_dc"": -3.4059999999999966, ""target_temperature"": 28.0, ""latest_temperature"": 30.31}",2026-09-04 06:34:24.649,1598.4625
Pulse experiments,pioreactor01,2026-09-04T00:52:49.168Z,UpdatedHeaterDC,delta_dc=-3.046000000000017,"{""current_dc"": 0.0, ""delta_dc"": -3.046000000000017, ""target_temperature"": 28.0, ""latest_temperature"": 30.26}",2026-09-04 06:37:49.168,1598.519444444444
Pulse experiments,pioreactor01,2026-09-04T00:56:07.396Z,UpdatedHeaterDC,delta_dc=-3.2760000000000042,"{""current_dc"": 0.0, ""delta_dc"": -3.2760000000000042, ""target_temperature"": 28.0, ""latest_temperature"": 30.26}",2026-09-04 06:41:07.396,1598.574444444444
Pulse experiments,pioreactor01,2026-09-04T00:59:28.524Z,UpdatedHeaterDC,delta_dc=-3.2039999999999926,"{""current_dc"": 0.0, ""delta_dc"": -3.2039999999999926, ""target_temperature"": 28.0, ""latest_temperature"": 30.25}",2026-09-04 06:44:28.524,1598.630277777778
Pulse experiments,pioreactor01,2026-09-04T01:02:45.666Z,UpdatedHeaterDC,delta_dc=-3.25,"{""current_dc"": 0.0, ""delta_dc"": -3.25, ""target_temperature"": 28.0, ""latest_temperature"": 30.25}",2026-09-04 06:47:45.666,1598.685
Pulse experiments,pioreactor01,2026-09-04T01:06:09.571Z,UpdatedHeaterDC,delta_dc=-2.962000000000006,"{""current_dc"": 0.0, ""delta_dc"": -2.962000000000006, ""target_temperature"": 28.0, ""latest_temperature"": 30.21}",2026-09-04 06:51:09.571,1598.741666666667
