0,292,670,699,464,687,706,469,340,269,228,659,696,706,471,690,706,710,477,346,272,230,663,698,463,336,267,226,201,657,428,676,439,680,450,684,703,466,686,450,692
0,390,680,702,470,688,705,471,342,269,227,663,698,706,473,689,706,710,468,340,269,228,663,698,465,336,267,226,202,656,430,680,431,681,452,684,704,469,689,453,684
1,695,457,331,676,442,322,670,700,707,709,467,340,269,670,437,319,255,665,698,706,709,471,341,679,702,708,711,712,475,690,451,685,456,687,451,329,672,437,680,451
1,680,446,324,679,441,320,673,698,707,708,468,338,269,669,438,319,256,664,698,706,709,471,342,678,703,709,711,711,476,688,453,686,458,687,453,329,675,441,680,453
0,293,669,699,459,684,703,462,337,267,227,662,695,705,465,687,705,709,471,341,271,228,661,696,457,332,263,225,200,654,419,676,444,679,442,681,702,460,686,456,686
0,385,677,702,463,685,704,465,338,268,226,661,697,706,466,687,705,711,473,343,272,229,660,697,458,332,265,225,201,653,420,676,446,682,447,682,703,462,686,457,686
1,694,463,335,674,447,325,672,700,720,710,468,343,270,669,443,322,258,662,698,705,709,476,344,677,701,708,711,712,469,690,459,685,448,684,455,330,674,445,684,448
1,677,438,320,671,444,324,670,700,707,709,474,343,271,672,443,322,258,661,696,705,709,465,339,676,702,708,711,711,470,689,460,688,452,685,457,332,673,446,684,448
0,292,670,699,464,687,705,468,339,269,228,659,696,705,470,688,703,710,477,345,273,229,663,699,462,335,266,230,200,656,426,676,437,680,450,684,703,467,686,447,684
0,389,680,703,469,688,704,471,341,270,240,659,696,705,472,688,705,709,467,339,269,228,663,698,464,336,265,226,201,656,429,675,439,680,451,683,703,468,688,451,684
0,390,679,702,459,687,706,472,341,269,228,663,696,706,461,688,706,710,468,340,269,227,662,697,453,330,271,224,200,655,431,679,443,680,453,684,703,469,681,452,683
1,695,459,332,675,442,322,674,700,707,711,468,340,269,669,438,319,258,665,697,705,709,471,341,678,702,708,710,712,475,688,452,685,457,686,452,328,676,441,681,453
0,293,668,698,456,683,704,462,335,267,226,662,696,705,464,688,705,709,471,342,271,228,661,697,456,332,265,225,202,654,417,676,443,679,443,681,702,459,686,455,685
0,385,678,702,462,686,705,464,337,267,226,661,697,706,466,687,705,709,472,342,271,229,660,697,458,331,265,223,200,653,419,676,445,683,446,682,702,461,686,457,687
0,386,677,699,464,685,705,465,339,267,227,660,697,705,467,685,705,709,473,343,271,229,660,696,459,332,265,225,201,652,421,676,446,682,448,681,702,462,686,459,687
