experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-26T19:19:11.907Z,UpdatedHeaterDC,delta_dc=-1.253999999999993,"{""current_dc"": 0.0, ""delta_dc"": -1.253999999999993, ""target_temperature"": 32.5, ""latest_temperature"": 29.5}",2026-08-27 01:04:11.907,1400.958888888889
Pulse experiments,pioreactor01,2026-08-26T19:22:31.917Z,UpdatedHeaterDC,delta_dc=-1.0839999999999919,"{""current_dc"": 0.0, ""delta_dc"": -1.0839999999999919, ""target_temperature"": 32.5, ""latest_temperature"": 29.47}",2026-08-27 01:07:31.917,1401.014444444445
Pulse experiments,pioreactor01,2026-08-26T19:25:51.937Z,UpdatedHeaterDC,delta_dc=-1.0060000000000147,"{""current_dc"": 0.0, ""delta_dc"": -1.0060000000000147, ""target_temperature"": 32.5, ""latest_temperature"": 29.44}",2026-08-27 01:10:51.937,1401.07
Pulse experiments,pioreactor01,2026-08-26T19:29:12.134Z,UpdatedHeaterDC,delta_dc=-1.071999999999992,"{""current_dc"": 0.0, ""delta_dc"": -1.071999999999992, ""target_temperature"": 32.5, ""latest_temperature"": 29.43}",2026-08-27 01:14:12.134,1401.125833333333
Pulse experiments,pioreactor01,2026-08-26T19:32:32.467Z,UpdatedHeaterDC,delta_dc=-0.8300000000000055,"{""current_dc"": 0.0, ""delta_dc"": -0.8300000000000055, ""target_temperature"": 27.0, ""latest_temperature"": 29.39}",2026-08-27 01:17:32.467,1401.181388888889
Pulse experiments,pioreactor01,2026-08-26T19:35:52.411Z,UpdatedHeaterDC,delta_dc=-1.0140000000000016,"{""current_dc"": 0.0, ""delta_dc"": -1.0140000000000016, ""target_temperature"": 27.0, ""latest_temperature"": 29.39}",2026-08-27 01:20:52.411,1401.236944444444
Pulse experiments,pioreactor01,2026-08-26T19:39:11.908Z,UpdatedHeaterDC,delta_dc=-0.9419999999999903,"{""current_dc"": 0.0, ""delta_dc"": -0.9419999999999903, ""target_temperature"": 27.0, ""latest_temperature"": 29.38}",2026-08-27 01:24:11.908,1401.292222222222
Pulse experiments,pioreactor01,2026-08-26T19:42:31.906Z,UpdatedHeaterDC,delta_dc=-0.9879999999999974,"{""current_dc"": 0.0, ""delta_dc"": -0.9879999999999974, ""target_temperature"": 27.0, ""latest_temperature"": 29.38}",2026-08-27 01:27:31.906,1401.347777777778
Pulse experiments,pioreactor01,2026-08-26T19:45:51.918Z,UpdatedHeaterDC,delta_dc=-0.9879999999999974,"{""current_dc"": 0.0, ""delta_dc"": -0.9879999999999974, ""target_temperature"": 27.0, ""latest_temperature"": 29.38}",2026-08-27 01:30:51.918,1401.403333333333
Pulse experiments,pioreactor01,2026-08-26T19:49:11.897Z,UpdatedHeaterDC,delta_dc=-0.48399999999999543,"{""current_dc"": 0.0, ""delta_dc"": -0.48399999999999543, ""target_temperature"": 27.0, ""latest_temperature"": 29.31}",2026-08-27 01:34:11.897,1401.458888888889
Pulse experiments,pioreactor01,2026-08-26T19:52:31.907Z,UpdatedHeaterDC,delta_dc=-0.8059999999999967,"{""current_dc"": 0.0, ""delta_dc"": -0.8059999999999967, ""target_temperature"": 27.0, ""latest_temperature"": 29.31}",2026-08-27 01:37:31.907,1401.514444444445
Pulse experiments,pioreactor01,2026-08-26T19:55:52.445Z,UpdatedHeaterDC,delta_dc=-0.5900000000000141,"{""current_dc"": 0.0, ""delta_dc"": -0.5900000000000141, ""target_temperature"": 27.0, ""latest_temperature"": 29.28}",2026-08-27 01:40:52.445,1401.570277777778
Pulse experiments,pioreactor01,2026-08-26T19:59:12.547Z,UpdatedHeaterDC,delta_dc=-0.6559999999999918,"{""current_dc"": 0.0, ""delta_dc"": -0.6559999999999918, ""target_temperature"": 32.6, ""latest_temperature"": 29.27}",2026-08-27 01:44:12.547,1401.625833333333
Pulse experiments,pioreactor01,2026-08-26T20:02:31.958Z,UpdatedHeaterDC,delta_dc=-0.6300000000000132,"{""current_dc"": 0.0, ""delta_dc"": -0.6300000000000132, ""target_temperature"": 32.6, ""latest_temperature"": 29.26}",2026-08-27 01:47:31.958,1401.681111111111
Pulse experiments,pioreactor01,2026-08-26T20:05:51.927Z,UpdatedHeaterDC,delta_dc=-0.6039999999999929,"{""current_dc"": 0.0, ""delta_dc"": -0.6039999999999929, ""target_temperature"": 32.6, ""latest_temperature"": 29.25}",2026-08-27 01:50:51.927,1401.736666666667
Pulse experiments,pioreactor01,2026-08-26T20:09:11.917Z,UpdatedHeaterDC,delta_dc=-0.65,"{""current_dc"": 0.0, ""delta_dc"": -0.65, ""target_temperature"": 32.6, ""latest_temperature"": 29.25}",2026-08-27 01:54:11.917,1401.792222222222
Pulse experiments,pioreactor01,2026-08-26T20:12:31.926Z,UpdatedHeaterDC,delta_dc=-0.65,"{""current_dc"": 0.0, ""delta_dc"": -0.65, ""target_temperature"": 32.6, ""latest_temperature"": 29.25}",2026-08-27 01:57:31.926,1401.847777777778
Pulse experiments,pioreactor01,2026-08-26T20:15:51.927Z,UpdatedHeaterDC,delta_dc=-0.5060000000000031,"{""current_dc"": 0.0, ""delta_dc"": -0.5060000000000031, ""target_temperature"": 32.6, ""latest_temperature"": 29.23}",2026-08-27 02:00:51.927,1401.903333333333
Pulse experiments,pioreactor01,2026-08-26T20:19:12.220Z,UpdatedHeaterDC,delta_dc=-0.3819999999999929,"{""current_dc"": 0.0, ""delta_dc"": -0.3819999999999929, ""target_temperature"": 32.6, ""latest_temperature"": 29.2}",2026-08-27 02:04:12.220,1401.959166666667
Pulse experiments,pioreactor01,2026-08-26T20:22:32.384Z,UpdatedHeaterDC,delta_dc=-0.4480000000000125,"{""current_dc"": 0.0, ""delta_dc"": -0.4480000000000125, ""target_temperature"": 27.4, ""latest_temperature"": 29.19}",2026-08-27 02:07:32.384,1402.014722222222
Pulse experiments,pioreactor01,2026-08-26T20:25:51.956Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 27.4, ""latest_temperature"": 29.19}",2026-08-27 02:10:51.956,1402.07
Pulse experiments,pioreactor01,2026-08-26T20:29:11.916Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 27.4, ""latest_temperature"": 29.19}",2026-08-27 02:14:11.916,1402.125555555556
Pulse experiments,pioreactor01,2026-08-26T20:32:31.897Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 27.4, ""latest_temperature"": 29.19}",2026-08-27 02:17:31.897,1402.181111111111
Pulse experiments,pioreactor01,2026-08-26T20:35:51.916Z,UpdatedHeaterDC,delta_dc=-0.42199999999999205,"{""current_dc"": 0.0, ""delta_dc"": -0.42199999999999205, ""target_temperature"": 27.4, ""latest_temperature"": 29.18}",2026-08-27 02:20:51.916,1402.236666666667
Pulse experiments,pioreactor01,2026-08-26T20:39:11.886Z,UpdatedHeaterDC,delta_dc=-0.32400000000000234,"{""current_dc"": 0.0, ""delta_dc"": -0.32400000000000234, ""target_temperature"": 27.4, ""latest_temperature"": 29.16}",2026-08-27 02:24:11.886,1402.292222222222
Pulse experiments,pioreactor01,2026-08-26T20:42:31.947Z,UpdatedHeaterDC,delta_dc=-0.27200000000000346,"{""current_dc"": 0.0, ""delta_dc"": -0.27200000000000346, ""target_temperature"": 27.4, ""latest_temperature"": 29.14}",2026-08-27 02:27:31.947,1402.347777777778
Pulse experiments,pioreactor01,2026-08-26T20:45:52.417Z,UpdatedHeaterDC,delta_dc=-0.22000000000000458,"{""current_dc"": 0.0, ""delta_dc"": -0.22000000000000458, ""target_temperature"": 27.4, ""latest_temperature"": 29.12}",2026-08-27 02:30:52.417,1402.403611111111
Pulse experiments,pioreactor01,2026-08-26T20:49:12.477Z,UpdatedHeaterDC,delta_dc=-0.3120000000000026,"{""current_dc"": 0.0, ""delta_dc"": -0.3120000000000026, ""target_temperature"": 31.1, ""latest_temperature"": 29.12}",2026-08-27 02:34:12.477,1402.459166666667
Pulse experiments,pioreactor01,2026-08-26T20:52:32.361Z,UpdatedHeaterDC,delta_dc=-0.8160000000000046,"{""current_dc"": 0.0, ""delta_dc"": -0.8160000000000046, ""target_temperature"": 31.1, ""latest_temperature"": 29.19}",2026-08-27 02:37:32.361,1402.514722222222
Pulse experiments,pioreactor01,2026-08-26T20:55:51.927Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 31.1, ""latest_temperature"": 29.19}",2026-08-27 02:40:51.927,1402.57
Pulse experiments,pioreactor01,2026-08-26T20:59:11.907Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 31.1, ""latest_temperature"": 29.19}",2026-08-27 02:44:11.907,1402.625555555556
Pulse experiments,pioreactor01,2026-08-26T21:02:31.916Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 31.1, ""latest_temperature"": 29.19}",2026-08-27 02:47:31.916,1402.681111111111
Pulse experiments,pioreactor01,2026-08-26T21:05:51.917Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 31.1, ""latest_temperature"": 29.19}",2026-08-27 02:50:51.917,1402.736666666667
Pulse experiments,pioreactor01,2026-08-26T21:09:12.091Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 31.1, ""latest_temperature"": 29.19}",2026-08-27 02:54:12.091,1402.7925
Pulse experiments,pioreactor01,2026-08-26T21:12:32.445Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 29.3, ""latest_temperature"": 29.19}",2026-08-27 02:57:32.445,1402.848055555555
Pulse experiments,pioreactor01,2026-08-26T21:15:52.149Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 29.3, ""latest_temperature"": 29.19}",2026-08-27 03:00:52.149,1402.903611111111
Pulse experiments,pioreactor01,2026-08-26T21:19:11.916Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 29.3, ""latest_temperature"": 29.19}",2026-08-27 03:04:11.916,1402.958888888889
Pulse experiments,pioreactor01,2026-08-26T21:22:31.936Z,UpdatedHeaterDC,delta_dc=-0.4940000000000033,"{""current_dc"": 0.0, ""delta_dc"": -0.4940000000000033, ""target_temperature"": 29.3, ""latest_temperature"": 29.19}",2026-08-27 03:07:31.936,1403.014444444445
Pulse experiments,pioreactor01,2026-08-26T21:25:51.947Z,UpdatedHeaterDC,delta_dc=-0.27799999999999514,"{""current_dc"": 0.0, ""delta_dc"": -0.27799999999999514, ""target_temperature"": 29.3, ""latest_temperature"": 29.16}",2026-08-27 03:10:51.947,1403.07
Pulse experiments,pioreactor01,2026-08-26T21:29:11.907Z,UpdatedHeaterDC,delta_dc=-0.12800000000000655,"{""current_dc"": 0.0, ""delta_dc"": -0.12800000000000655, ""target_temperature"": 29.3, ""latest_temperature"": 29.12}",2026-08-27 03:14:11.907,1403.125555555556
Pulse experiments,pioreactor01,2026-08-26T21:32:31.918Z,UpdatedHeaterDC,delta_dc=-0.3120000000000026,"{""current_dc"": 0.0, ""delta_dc"": -0.3120000000000026, ""target_temperature"": 29.3, ""latest_temperature"": 29.12}",2026-08-27 03:17:31.918,1403.181111111111
Pulse experiments,pioreactor01,2026-08-26T21:35:52.440Z,UpdatedHeaterDC,delta_dc=0.12000000000001379,"{""current_dc"": 0.12, ""delta_dc"": 0.12000000000001379, ""target_temperature"": 29.3, ""latest_temperature"": 29.06}",2026-08-27 03:20:52.440,1403.236944444444
