run,run_key,condition,modality,steps,norm_od_mae,norm_od_rmse,norm_od_r2,growth_rate_mae,growth_rate_rmse,growth_rate_r2,co2_ppm_mae,co2_ppm_rmse,co2_ppm_r2,od_45_mae,od_45_rmse,od_45_r2,od_90_mae,od_90_rmse,od_90_r2,od_135_mae,od_135_rmse,od_135_r2,nm_415_mae,nm_415_rmse,nm_415_r2,nm_445_mae,nm_445_rmse,nm_445_r2,nm_480_mae,nm_480_rmse,nm_480_r2,nm_515_mae,nm_515_rmse,nm_515_r2,nm_555_mae,nm_555_rmse,nm_555_r2,nm_590_mae,nm_590_rmse,nm_590_r2,nm_630_mae,nm_630_rmse,nm_630_r2,nm_680_mae,nm_680_rmse,nm_680_r2
pulse__nitrogen__20260806102506,pulse:nitrogen:20260806102506,nitrogen,pulse,136,0.07866902793735987,0.09216104117423207,-10.839925038398297,0.014163177723606422,0.020657120425015777,0.26333585052550923,192.46716200086806,201.26635607599005,-10.995461163233765,0.0520933479838864,0.055025826203645295,-60.21001446955722,0.01318521912451335,0.014474303567670611,-4.634901732945452,0.020571451142781094,0.02173057279438064,-19.68261720620987,0.0027257184271458823,0.003103191978453255,-3.071988317385224,0.02759755876800158,0.03051120931689397,-3.3729692319491065,0.026115144562426886,0.030742310382574016,-2.3562948230340766,0.03500875458540737,0.038086167986508775,-4.395727579719072,0.04407304678022125,0.04720774660116296,-5.794500073434576,0.03716990770175132,0.04053322416317902,-3.992304240589508,0.035818207223327056,0.03947156443433584,-4.040633395826687,0.022215698352566447,0.024750044235246533,-4.050786986116306
pulse__salt__20260715130728,pulse:salt:20260715130728,salt,pulse,163,0.09429537945298848,0.10505033547869745,-6.8425024349467405,0.015397693992266124,0.017408633864013607,0.34544495391457997,103.28017804181133,109.08937627004396,-9.68761966924185,0.06115839109262555,0.06457134103027264,-41.90232817351338,0.02384832865438034,0.0245378431941109,-18.840705541718002,0.026570744838887345,0.028319307536424847,-14.211006422707463,0.0017392503646788456,0.002080339353566136,-5.66958736101745,0.013076334841947977,0.016685949396462,-5.908909504520214,0.008432465040634678,0.010449663485047958,-0.8300629242554436,0.024463747247746925,0.030266249418922975,-9.486810767515413,0.03503425075733119,0.04333772478428523,-15.568701747608326,0.027005297071649195,0.033005584622215325,-9.571300600801871,0.027298858200571645,0.03404710707058892,-11.74202344191654,0.01781867306320754,0.02204565472694802,-13.014361963190913
pulse__salt__20260814171607,pulse:salt:20260814171607,salt,pulse,144,0.3478981889241251,0.4240680108324033,-134.46040456945653,0.0391533936824085,0.05230304128535152,-0.025867550944753237,123.22036713286714,160.42140536064107,-0.10185425139416915,0.08593905532641789,0.09043435644741754,-11.322726925966151,0.031288167075329464,0.03408098681816837,-4.5358675454539705,0.03639741956083634,0.037777130988941116,-25.07647912168847,0.004123628824582103,0.004355965634206501,-22.58005971432126,0.03846197705073555,0.04203155626122228,-40.52455349213894,0.04668143095527141,0.04823550008586726,-29.7801814302583,0.04503662729517369,0.0490702790078561,-25.17723070388266,0.04512580283649597,0.05195458705066843,-21.263612816804923,0.04634591964384418,0.050423980335956096,-20.868429752710323,0.04471907100290846,0.05226548975834661,-23.28034376074166,0.025583173625000025,0.030144607462321983,-17.769981114870507
pulse__salt__20260818140329,pulse:salt:20260818140329,salt,pulse,155,0.2940394573232154,0.3308063816540823,-31.47775809485497,0.03649541840458205,0.04300307266707038,0.11201547875837137,122.09497553076449,156.9407988537601,-1.3788580177110208,0.06582617830761597,0.0715628838466816,-4.470525758491781,0.034157610102488356,0.034677312175819944,-33.060728630771294,0.028227464467784874,0.02978402662444705,-5.902865591401682,0.0051478380072487945,0.005271800565248864,-14.386430563316917,0.03871621615152259,0.039881871215196825,-12.402927835365471,0.053953519383604556,0.05500537963697231,-16.250509063121306,0.05240129510580641,0.05408861385363747,-12.297271848698928,0.05406078696815865,0.05667491616871172,-10.60214589433138,0.05759452170344091,0.05936845437817825,-12.092386759832268,0.05433848656087567,0.05631582219064768,-11.535874036689316,0.031016294626623097,0.03252164526059639,-9.306137763396285
pulse__salt__20260818140611,pulse:salt:20260818140611,salt,pulse,163,0.50662179467741,0.5187354666016571,-1703.6461860725856,0.018034415542572926,0.023411939460679987,0.010276592060844747,76.74468212153849,104.24881460493482,0.005405005768080229,0.1831684946526503,0.1867058226064351,-37.40959959514216,0.04854729834067002,0.0496313597473502,-19.07030285667189,0.06258172352319083,0.06360729718550237,-316.23493335459034,0.007966059536600347,0.008266000133949191,-102.35852295404976,0.06721475163948393,0.06886726359270444,-120.24818863187794,0.081962990688689,0.08383760830121495,-110.93313307084365,0.09341209342940848,0.09706471819131698,-131.38239225582774,0.09693342449488467,0.1000647671410583,-102.97863337526363,0.09772827886995467,0.10108596419732506,-104.7022717496663,0.08672801365136124,0.08926664388809008,-80.88722963367574,0.056000966355879166,0.0586116631206799,-74.21373382403615
pulse__salt__20260818141033,pulse:salt:20260818141033,salt,pulse,130,0.1670859874702275,0.19128866513396311,-7.247440736199287,0.03473186718606876,0.04022094131781484,-3.3626701905720395,79.73065370597477,109.66654185878517,-0.4000102777183485,0.043806491072924274,0.05027847482715527,-1.119677006727878,0.020745975837733684,0.023703610899562737,-3.2927623826016275,0.01623995504243303,0.018296362424163715,-1.2839716573512945,0.0014724220876230962,0.00211723495115042,-0.22347297988320758,0.015913510460784454,0.0223536190566687,-0.8313440506792793,0.0174152702337583,0.023250688939822253,-0.3915108290573026,0.01847844162055867,0.026882292648459243,-0.45280570587961533,0.02300972551971921,0.03108464564548646,-0.6686911336858812,0.018837062350040994,0.02835317446303642,-0.4338460827010262,0.019519271440842256,0.028053790424963945,-0.6010538353218053,0.012809985585358525,0.018023452968398912,-0.8067144795584253
pulse__sulfur__20260703114147,pulse:sulfur:20260703114147,sulfur,pulse,147,0.2852856917947312,0.30656215133411285,-24.49439140537889,0.023555318620365927,0.027824873372498657,-0.41636880976967094,51.799357320851286,67.69795459926935,0.43078514612601315,0.013948276967500258,0.016667917341646733,0.3605742973119307,0.03484340120200577,0.03598193612707346,-10.680504570914012,0.02329316463216176,0.025153430857083294,-4.582366630472829,0.006061816342821442,0.006406702330684847,-14.133319745313003,0.04797708352080221,0.04965253408003425,-10.957629837479079,0.05841103748153881,0.05992998998313614,-11.376572073456211,0.07456478378652984,0.07990918139976493,-18.47584548356893,0.06261222545686924,0.06569684894010584,-9.430414982692698,0.06571191811234986,0.06978180306198238,-10.9686894708081,0.04811239112893199,0.050300269111872985,-5.942411891793305,0.03791617243420591,0.04076044885249682,-10.777484829022791
pulse__sulfur__20260812151220,pulse:sulfur:20260812151220,sulfur,pulse,151,0.2624485422049014,0.2913576798063322,-13.221624146072193,0.026504604654992502,0.030360101521659116,-1.9506701488021867,67.93299471028645,75.50535968810746,-0.29058150099598135,0.13292436868980892,0.13547283026418036,-115.71736726748587,0.08356943036785335,0.08444363828771476,-26.022685816477843,0.06984036382484102,0.07053962667700633,-35.79410961984793,0.015679414325952493,0.016062698266570093,-12.949945713681394,0.13236840010484058,0.13588597605722577,-12.807504626931232,0.14868901166968876,0.15313781582642283,-11.564190591830389,0.17058859912819332,0.17466377562488652,-12.276008084700894,0.20000944679260252,0.20497568049436335,-13.25860685776578,0.19533035154766504,0.20076639579744135,-12.234369884464467,0.19197591213650175,0.1977468013735417,-12.938050887273041,0.11553744133684368,0.1188233547199644,-11.874600708175207
pulse__sulfur__20260813211237,pulse:sulfur:20260813211237,sulfur,pulse,135,0.11244881515489102,0.14359295035378158,-6.144484840004686,0.02967899180600797,0.03348602504194042,0.1386833759974907,137.1963089824316,158.70755323661237,-0.027645095016047838,0.024717758056591592,0.028361108857993263,-0.4358027817196506,0.005065089578384984,0.00649673721039151,0.15616533282576028,0.007519224855581306,0.009406741900047547,0.06281621803113202,0.0012170857271893408,0.00138147750077003,-0.913116344199556,0.00895098695351712,0.010718901601977906,-0.7095680248286118,0.0171785546517491,0.018601555966755275,-2.588931069732603,0.009309918317628748,0.012458233167753383,-0.20677842306000604,0.011280279310781564,0.014264722893079817,-0.27177770895893705,0.010760709849163093,0.013788655551321872,-0.2596542838407918,0.010877204728363774,0.013561210656078165,-0.40140433555480204,0.0072354451325995425,0.00942468947891101,-0.8300550041054509
pulse__sulfur__20260813212104,pulse:sulfur:20260813212104,sulfur,pulse,133,0.47170893213605836,0.4760115378149292,-413.59323844590295,0.04397962344609671,0.053995212452701356,-0.23027357387917236,174.7590637207031,234.09934731265196,-1.222967525198464,0.27424509662233404,0.28931120513311426,-10.71058234458766,0.022690867335377382,0.02518754125239736,-3.428686975128665,0.07751640612219196,0.0790671553748835,-51.99490121886737,0.011098282464683315,0.011281052306706766,-106.85344059909119,0.09607717181669674,0.09777681797328094,-112.35029253987314,0.12027632254318323,0.1213749810955465,-121.87845845099973,0.12360228995460237,0.12619569644818654,-117.47994833942359,0.13259160599087885,0.1363901315163185,-112.37254859634778,0.1326944788484206,0.1354491815449759,-114.96299187569399,0.12636647332305753,0.1291260850395828,-108.20941855356871,0.07624385021852728,0.07839861523662502,-101.41401918537339
pulse__sulfur__20260814100658,pulse:sulfur:20260814100658,sulfur,pulse,134,0.3500997932117311,0.3544427514208098,-50.342476730106355,0.06498872303665656,0.07800661592503748,-0.19971762708283447,142.02275959674577,156.560931878693,-2.952459093083546,0.13840189493295335,0.14567320216059826,-21.15758745649031,0.026425910880645637,0.027706094064098002,-11.256392545188364,0.04587801011199479,0.04787188960155047,-30.996932993892752,0.006423081721105307,0.006691005552581075,-28.479000689879474,0.048216680678110295,0.051151693870564216,-18.706034195955205,0.06939464540330194,0.07175067519398128,-28.491589616202543,0.07050572525150299,0.07391214010125673,-26.403551356721344,0.07525500740224159,0.0796456628230031,-25.388260403783484,0.07809353908640004,0.08164406318761518,-27.462199652086106,0.07486755192030842,0.07864086622636887,-27.627502532058216,0.045268484172765314,0.04800433257539402,-26.59281554112001
pulse__uracil__20260715124827,pulse:uracil:20260715124827,uracil,pulse,146,0.24054906804262743,0.2625733980614999,-7.106618605346222,0.015668385513351996,0.018348897906723782,-1.4467491679969329,135.007890167988,141.75528905466376,-10.990580679989483,0.09603196732916962,0.09905137937999592,-33.645694724965296,0.06149243490637096,0.06416801837222587,-12.628037818132434,0.058639410104547915,0.06124766696225734,-14.811630310330047,0.010407783821894013,0.011073892602601814,-10.932005461736896,0.08235903183994187,0.08822643860733707,-11.256080314667692,0.09560126800467875,0.10101920189314746,-10.201028486732003,0.12068017303241214,0.12987968131450106,-10.608403207778057,0.1403582683722755,0.15172890245812534,-11.739390103358982,0.13423118902960476,0.1436258485652004,-11.402557859468292,0.1258628376319779,0.13482181040471752,-11.422722785510683,0.07951022870523308,0.08531071961178077,-12.649391058650286
sine__glucose__20260823121413,sine:glucose:20260823121413,glucose,sine,169,0.26088536116227534,0.2749247219540745,-204.5914525747865,0.02028197966880455,0.02100008775251771,-9.305671819496029,138.91482129778183,163.68540228180834,-0.5944887866471504,0.08810441248481195,0.08848379382363539,-745.8340726282005,0.058607734235615036,0.05868335796711073,-172.12059475310286,0.058671982830809356,0.058783278519059796,-330.96706457827014,0.011631508544737818,0.011642546731076273,-200.86890934677697,0.10298888562548726,0.10320211892610381,-298.6445087019603,0.11327827146412832,0.1134079571124373,-201.33875134801912,0.14078558800144803,0.14097632176728045,-221.1805402303203,0.160262483876849,0.16048531967508112,-222.75821919833024,0.14898148582047885,0.1491249974402433,-159.9709351495913,0.13758873453215947,0.13782309355601038,-125.24284822996042,0.08653686246938173,0.08672118407779407,-113.18971425398009
sine__nitro__20260823121923,sine:nitro:20260823121923,nitro,sine,168,0.18990159508816326,0.1990792446703576,-24.55586065721195,0.03605342926680549,0.05376099590194388,0.009029651135545436,59.813369688032786,93.14006353940991,-0.10833116465994452,0.045123325978845226,0.05094885620864576,-4.096981649695602,0.02417951940949572,0.024535356609781317,-39.78954267636865,0.03286517695998969,0.03359020484480535,-24.22898835331085,0.005846017380662584,0.005868837124405909,-87.32782500363997,0.04750498751394766,0.04774602124891247,-66.89468241706744,0.06160101821646246,0.06190469064777971,-89.66869805408162,0.06201397843408491,0.06229504995432813,-79.47910332213887,0.06558912598529978,0.0659924308589622,-80.3002346827586,0.07100636414920027,0.07124280715406776,-97.05130561373939,0.0712567171254796,0.07146981902873781,-112.688838707964,0.04454957479735814,0.04473626726651029,-114.4531668201406
sine__salt__20260715130728,sine:salt:20260715130728,salt,sine,163,0.09429537945298848,0.10505033547869745,-6.8425024349467405,0.015397693992266124,0.017408633864013607,0.34544495391457997,103.28017804181133,109.08937627004396,-9.68761966924185,0.06115839109262555,0.06457134103027264,-41.90232817351338,0.02384832865438034,0.0245378431941109,-18.840705541718002,0.026570744838887345,0.028319307536424847,-14.211006422707463,0.0017392503646788456,0.002080339353566136,-5.66958736101745,0.013076334841947977,0.016685949396462,-5.908909504520214,0.008432465040634678,0.010449663485047958,-0.8300629242554436,0.024463747247746925,0.030266249418922975,-9.486810767515413,0.03503425075733119,0.04333772478428523,-15.568701747608326,0.027005297071649195,0.033005584622215325,-9.571300600801871,0.027298858200571645,0.03404710707058892,-11.74202344191654,0.01781867306320754,0.02204565472694802,-13.014361963190913
sine__salt__20260823123217,sine:salt:20260823123217,salt,sine,199,0.448446367760064,0.6505966049710838,-136.7032565297144,0.021523866829917835,0.027876606514391476,-0.2436622302172391,63.572932930705356,95.16970531578822,-0.45081256784458223,0.0688583120866551,0.07485617420460829,-6.4479105514933215,0.038280015314896075,0.04026145473170196,-89.90625939818094,0.03646035698152008,0.04119097513955461,-13.760535488102395,0.0027711219983269585,0.003075972788479595,-5.189052513098338,0.03880183533165191,0.05836893354918404,-19.09882973534478,0.02529234568960339,0.027715270884501264,-3.268627321859147,0.03896406911158,0.05632250001897917,-16.117077358959214,0.04151397124484733,0.05951000464589502,-16.325432500157902,0.03507987314823903,0.051833762635694315,-15.300481986382987,0.047761675011027946,0.0787649718167026,-39.175168000849624,0.029145116344445495,0.04380724122817611,-30.348191118821227
sine__sulfur__20260824230954,sine:sulfur:20260824230954,sulfur,sine,169,0.26727698531309385,0.28087194539427607,-15.736012346498775,0.05276474242954404,0.07039732075574272,-0.057766753379119296,83.81782764253164,110.72651535148324,-0.3406755577533471,0.08071037954743832,0.09039468074382111,-3.777542590334831,0.046898072145995104,0.04712876717559892,-93.31851634358199,0.04637152980596737,0.047793376854694654,-15.319255530407954,0.007726227785445905,0.007771743970173712,-76.26307583102061,0.06147147226428232,0.06189838288740067,-57.439367226093665,0.0784297159233737,0.07887353706940446,-71.45499529494668,0.08198259437935695,0.08248031768355012,-74.08716280052192,0.08906000359380058,0.08975422464755758,-76.19565648723501,0.09280510183695766,0.0933215989199688,-83.34007908254641,0.093464280953483,0.0939280439373993,-84.07594427165188,0.05681511987769418,0.05714467757590268,-81.71275754367649
