measured_temp_c,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity,u_uv_intensity_pct,u_target_temp_c,u_glucose_ml,u_salt_ml
29.61333333333333,0.10442086646454166,0.22179060018371669,0.29468050136924445,0.05712852647569445,0.4831648763020833,0.5448334418402777,0.61675927734375,0.6953298068576389,0.6879785698784723,0.6729389105902778,0.40011593967013886,0.04436126543195,1.2477680195991119,742.1333333333333,27.819333333333336,74.33916666666667,3.0,25.9,0.16,0.05
29.555555555555557,0.10185202016305833,0.2183427123691611,0.2979071717973639,0.05787065972222222,0.48904730902777777,0.5518560655381944,0.6250986870659723,0.7050001627604167,0.6975551215277778,0.6823005099826389,0.4059180230034722,0.03946272445934523,1.2663807520392472,706.8333333333334,27.742,74.014,8.2,27.6,0.15,0.04
29.488888888888887,0.09988456810825834,0.21563073783385833,0.3005081783196389,0.05836382378472223,0.4928702799479167,0.5565828450520833,0.6307698567708333,0.7116024848090278,0.7041401909722222,0.68872021484375,0.4098987087673611,0.03705551409977448,1.2810142254707775,717.8666666666667,27.673166666666667,73.90966666666667,3.0,27.1,0.18,0.07
29.438888888888886,0.09783521046897778,0.21283698602942222,0.30302305031050836,0.059022189670138885,0.4982132703993055,0.5629155815972222,0.6382488064236111,0.7202066514756944,0.7128736436631944,0.6970714518229167,0.4151004774305556,0.032019206386408164,1.2961016945108952,727.4,27.622333333333334,73.82366666666667,6.0,26.4,0.15,0.04
29.418888888888887,0.0960620735107389,0.21030675522423053,0.3049033872498972,0.05961008029513889,0.5030977647569445,0.5686085611979166,0.6449451497395833,0.7278025716145834,0.720546875,0.7045975477430555,0.419689453125,0.02790483290142197,1.3080514200269537,764.6333333333333,27.656166666666664,74.23983333333334,7.5,28.1,0.16,0.05
29.34444444444445,0.09460800449229166,0.20825724944176113,0.3068532482253722,0.06012684461805556,0.5074225260416666,0.57371728515625,0.6508933376736111,0.734538357204861,0.7273063693576388,0.711095703125,0.4237490776909722,0.02547903885437612,1.319116314349203,796.35,27.551666666666666,74.73866666666666,1.9,25.8,0.17,0.06
29.27,0.0931609918218139,0.20619236241892777,0.3084685328544111,0.06064984809027778,0.5114796549479166,0.57861669921875,0.65654443359375,0.7412898763020833,0.7340213758680556,0.7176106228298611,0.4278404405381945,0.020565391290342183,1.3294726424906873,795.9166666666666,27.49116666666667,75.00016666666667,8.8,27.6,0.14,0.03
29.24666666666667,0.09256238154063333,0.20529674243655277,0.3094397450786833,0.060719455295138884,0.5119651150173611,0.5794222005208334,0.6571213650173611,0.7420809461805555,0.7347822265625,0.7186535373263889,0.4284683702256944,0.019600405978692982,1.3347229424150029,802.2833333333333,27.525,74.76933333333334,3.5,27.5,0.18,0.07
29.171111111111113,0.09209878095494722,0.20462871265006943,0.30990416056789444,0.060784559461805554,0.5127954644097222,0.5802166341145834,0.6577985026041666,0.7431042751736112,0.7360652669270833,0.7198602430555555,0.42926611328125003,0.011867878338770834,1.3380338931059435,794.6333333333333,27.447166666666664,74.8505,5.5,26.1,0.14,0.03
29.102222222222224,0.09212202971490001,0.20477114556904444,0.310162176065575,0.06072802734375,0.5125291341145833,0.5797584635416667,0.6570563693576389,0.7421618381076388,0.7351419813368055,0.7190627712673611,0.42885313585069446,0.010490715621313783,1.338046619524657,742.7,27.339,75.12733333333334,8.7,28.4,0.16,0.05
