feature_set,task,delay_steps,memory_min,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy
bio_optical_only,salt_high_low,5,150.0,27,0.0,0.0,0.0,0.6296296296296297
bio_optical_only,salt_high_low,6,180.0,26,0.11538461538461539,0.09375,0.10344827586206896,0.6153846153846154
bio_optical_only,uv_temp_glucose_regime,0,0.0,32,0.0625,0.1111111111111111,0.031746031746031744,0.3125
bio_optical_only,uv_temp_glucose_regime,1,30.0,31,0.03225806451612903,0.05555555555555555,0.017543859649122806,0.2903225806451613
environment_only,uv_high_low,0,0.0,32,0.40625,0.40625,0.4056695992179863,0.5
environment_only,uv_high_low,1,30.0,31,0.41935483870967744,0.41666666666666663,0.41386554621848737,0.5161290322580645
environment_only,uv_high_low,2,60.0,30,0.36666666666666664,0.3705357142857143,0.3659621802002225,0.5333333333333333
environment_only,uv_high_low,3,90.0,29,0.3448275862068966,0.34523809523809523,0.3448275862068966,0.5172413793103449
environment_only,uv_high_low,4,120.0,28,0.35714285714285715,0.358974358974359,0.35714285714285715,0.5357142857142857
environment_only,uv_high_low,5,150.0,27,0.2962962962962963,0.2967032967032967,0.2962962962962963,0.5185185185185185
environment_only,uv_high_low,6,180.0,26,0.34615384615384615,0.35714285714285715,0.3373313343328336,0.5384615384615384
environment_only,temp_high_low,0,0.0,32,0.4375,0.44313725490196076,0.43529411764705883,0.53125
environment_only,temp_high_low,1,30.0,31,0.3870967741935484,0.3907563025210084,0.3870967741935484,0.5483870967741935
environment_only,temp_high_low,2,60.0,30,0.4666666666666667,0.4751131221719457,0.4666666666666667,0.5666666666666667
environment_only,temp_high_low,3,90.0,29,0.3793103448275862,0.3870192307692308,0.37857142857142856,0.5517241379310345
environment_only,temp_high_low,4,120.0,28,0.39285714285714285,0.40625,0.39208173690932313,0.5714285714285714
environment_only,temp_high_low,5,150.0,27,0.37037037037037035,0.3833333333333333,0.36689655172413793,0.5555555555555556
environment_only,temp_high_low,6,180.0,26,0.3076923076923077,0.3214285714285714,0.2909090909090909,0.5384615384615384
environment_only,glucose_high_low,0,0.0,32,0.25,0.25,0.24705882352941178,0.625
environment_only,glucose_high_low,1,30.0,31,0.22580645161290322,0.1995614035087719,0.20512820512820512,0.6129032258064516
environment_only,glucose_high_low,2,60.0,30,0.23333333333333334,0.22248803827751196,0.2255892255892256,0.6333333333333333
environment_only,glucose_high_low,3,90.0,29,0.2413793103448276,0.2121212121212121,0.2181372549019608,0.6206896551724138
environment_only,glucose_high_low,4,120.0,28,0.21428571428571427,0.17647058823529413,0.17647058823529413,0.6071428571428571
environment_only,glucose_high_low,5,150.0,27,0.14814814814814814,0.11764705882352941,0.12903225806451613,0.6296296296296297
environment_only,glucose_high_low,6,180.0,26,0.23076923076923078,0.1875,0.1875,0.6153846153846154
environment_only,salt_high_low,0,0.0,32,0.25,0.25,0.24705882352941178,0.625
environment_only,salt_high_low,1,30.0,31,0.22580645161290322,0.1995614035087719,0.20512820512820512,0.6129032258064516
environment_only,salt_high_low,2,60.0,30,0.23333333333333334,0.22248803827751196,0.2255892255892256,0.6333333333333333
environment_only,salt_high_low,3,90.0,29,0.2413793103448276,0.2121212121212121,0.2181372549019608,0.6206896551724138
environment_only,salt_high_low,4,120.0,28,0.21428571428571427,0.17647058823529413,0.17647058823529413,0.6071428571428571
environment_only,salt_high_low,5,150.0,27,0.14814814814814814,0.11764705882352941,0.12903225806451613,0.6296296296296297
environment_only,salt_high_low,6,180.0,26,0.23076923076923078,0.1875,0.1875,0.6153846153846154
environment_only,uv_temp_glucose_regime,0,0.0,32,0.0,0.0,0.0,0.3125
environment_only,uv_temp_glucose_regime,1,30.0,31,0.0,0.0,0.0,0.2903225806451613
