cycle,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity
10,0.380276511138725,0.35585550556098333,0.12491377020012501,0.028883951822916667,0.24030924479166668,0.2633567708333333,0.29765218098958335,0.33506966145833333,0.33388232421874997,0.33454215494791667,0.18711604817708333,0.06545945400338793,2.2960077611879743,808.45,31.555500000000002,61.75599999999999
11,0.39585628992865834,0.35644990411786664,0.12120252571138333,0.028436523437500003,0.23640478515625,0.25873307291666664,0.2928151041666667,0.3297229817708333,0.32855387369791667,0.32941813151041666,0.18390494791666667,0.05739592865835043,2.1518902096631027,592.8,31.496,59.779999999999994
12,0.404715238557925,0.3568841225006167,0.11926533631353334,0.02823583984375,0.23449951171875,0.2564757486979167,0.29046175130208335,0.32714811197916666,0.32602555338541667,0.32702473958333333,0.18236295572916666,0.04621793543161345,2.0768652346572436,582.9,31.4735,59.072
13,0.40753744598614167,0.3572967943555417,0.11869486462140834,0.02816162109375,0.23386393229166666,0.2556826171875,0.2896082356770833,0.3261689453125,0.3250732421875,0.32606363932291665,0.18182080078124999,0.02318765290438983,2.049506605639322,544.45,31.4475,58.79
14,0.41224717537415834,0.35740933514236667,0.11764202663544167,0.028081542968749998,0.23305777994791665,0.2547034505208333,0.288634765625,0.3252132161458333,0.3241917317708333,0.32511360677083334,0.1811220703125,0.03564525730388696,2.0089325853072784,538.75,31.476499999999998,60.3965
15,0.42103671541105836,0.35760142685256663,0.11590121152509167,0.027853515625,0.2311728515625,0.25241796875,0.28620947265624996,0.3224345703125,0.3214451497395833,0.3225509440104167,0.17956705729166667,0.04450024755558119,1.93642905760753,499.8,31.327499999999997,59.899
16,0.4341419021663333,0.35725740312948334,0.11327868318515834,0.0275341796875,0.22852880859375,0.24923583984375,0.28292610677083335,0.31868457031249997,0.3176373697916667,0.31902067057291666,0.17739990234375,-0.022094319330932203,1.83209568114789,495.9,31.1835,59.34349999999999
17,0.4489584561273333,0.35655766959464164,0.11058350038175833,0.02725260416666667,0.22599381510416666,0.24627376302083331,0.27963199869791666,0.315095703125,0.3140681966145833,0.31562353515625,0.17527067057291665,0.004891935215126051,1.7133674482580756,498.3,31.1935,58.164
18,0.46599352100763336,0.35545331529015833,0.10764521058254166,0.02694791666666667,0.22330208333333335,0.24305094401041666,0.2762550455729167,0.3113727213541667,0.31039225260416664,0.31207014973958336,0.17305615234375,0.01825989201131579,1.5884489221291929,483.65,31.2395,56.85600000000001
19,0.4778908393402416,0.3545047592404583,0.10565038199205,0.02681268601190476,0.2220073784722222,0.24155536954365078,0.2747095114087302,0.30966455853174607,0.3087255084325397,0.31048611111111113,0.1720011780753968,0.014325966580393163,1.5048609433696922,523.55,31.482499999999998,57.307500000000005
20,0.48483315116168335,0.35384829469475837,0.10445544477589166,0.026626302083333334,0.22039973958333334,0.23969482421875002,0.27269287109375,0.30741080729166664,0.30639062499999997,0.3082239583333333,0.17065608723958334,-0.04146091946326667,1.4485378853216666,567.25,31.564999999999998,58.238
21,0.49126240335866667,0.353238155741475,0.1034948132007,0.026525716145833333,0.2195703125,0.23866422526041667,0.2716168619791667,0.3061609700520833,0.30520166015625,0.30709342447916665,0.16995100911458336,0.023591973213186443,1.4060898604640508,584.45,31.590500000000002,58.730999999999995
22,0.5036699582301667,0.3521521480554583,0.10160281256195,0.026330729166666667,0.21781998697916669,0.23659928385416668,0.26930908203125,0.30364404296874997,0.3026534830729167,0.3046258138020833,0.16841682942708333,0.05026228355594828,1.3273091142260518,603.3,31.670499999999997,59.147000000000006
23,0.519479756458225,0.35054163664335836,0.099110511765025,0.026078776041666665,0.2156189778645833,0.23406624348958335,0.26655387369791667,0.30056087239583335,0.29964436848958337,0.30174951171875003,0.16660009765625,0.053164771250234784,1.218398733293661,601.95,31.7395,59.391999999999996
24,0.5341958595497083,0.34922675029933337,0.096872223421575,0.025843424479166665,0.21368684895833334,0.231716796875,0.26408951822916665,0.29767252604166666,0.29690576171875,0.29908414713541664,0.16491585286458335,0.045111062387686446,1.1214910910317881,602.15,31.749000000000002,59.704499999999996
25,0.5430861054580166,0.3484446168542917,0.09538475295849166,0.025705729166666667,0.21239225260416666,0.2302548828125,0.26258040364583335,0.29605224609375,0.29515755208333333,0.297482421875,0.16387809244791668,0.040321398044554625,1.0576582564851849,631.15,31.6995,60.2525
26,0.54704143357935,0.34847505527091666,0.0948135125937,0.025654947916666667,0.21193522135416665,0.229705078125,0.26196875000000003,0.29544710286458337,0.2945013020833333,0.29682226562499997,0.16347851562500001,0.029818120370758622,1.032192525040612,715.05,31.676,60.940999999999995
27,0.5542597992064834,0.3479798532542083,0.09373979308555,0.02555143229166667,0.21104329427083332,0.22868782552083333,0.26089241536458335,0.2942312825520833,0.2932596028645833,0.29563020833333337,0.1627014973958333,0.021374342506330506,0.9880918851845678,810.85,31.661,61.561
28,0.5686007207558668,0.3466156578774333,0.09148723102944167,0.02543370863970588,0.2099063648897059,0.22739832261029413,0.25939682904411765,0.2925120634191177,0.2916119025735294,0.2939792049632353,0.16168198529411765,-0.015848882110247865,0.8969191214371283,870.3,31.695999999999998,61.7245
29,0.5840434395202083,0.3447418115048333,0.08905789133648333,0.02519359270039034,0.2078142765352669,0.22498869896627632,0.2568642946906772,0.2896980741081155,0.28880554066244557,0.2912428761290396,0.15991400292755992,-0.05953424906388235,0.8018925403620336,851.4,31.737000000000002,61.537
30,0.5994032466332053,0.34298063807448215,0.08695855203100893,0.0249534767610748,0.20572218818082788,0.22257907532225854,0.25433176033723676,0.2868840847971133,0.28599917875136166,0.2885065472948439,0.15814602056100216,-0.051673316414540545,0.7219719773528468,839.95,31.702499999999997,61.638
31,0.6126578039606195,0.33980069333200885,0.08452957500221238,0.024713360821759258,0.20363009982638888,0.22016945167824073,0.2517992259837963,0.2840700954861111,0.2831928168402778,0.28577021846064815,0.15637803819444443,-0.029715563882767856,0.6500836397441339,815.9,31.660500000000003,61.661
32,0.622111552139775,0.3403121439331417,0.083805210451375,0.024624837239583332,0.20281559244791666,0.21929654947916666,0.25090413411458334,0.28311767578125,0.28220524088541665,0.28489632161458334,0.15579264322916667,-0.016069547801957983,0.6144148091821849,811.25,31.6315,61.798
33,0.6400741629965917,0.33782571464745004,0.081625812898775,0.024473307291666666,0.20128727213541667,0.21741780598958332,0.24916276041666666,0.2813001302083333,0.28042822265624995,0.28298795572916663,0.15458512369791666,-0.013641797579386555,0.5468467347170672,807.3,31.611,61.925
34,0.6604219319726418,0.33437090640915834,0.079158228419625,0.0242724609375,0.1995400390625,0.21524625651041665,0.24722037760416665,0.27921826171874997,0.27840478515625,0.2809554036458334,0.15320149739583336,-0.02349325450287069,0.47762004356673277,873.35,31.526999999999997,62.614999999999995
35,0.6796298257410972,0.3314040016173611,0.07700160118805556,0.02410010804521277,0.19801529255319147,0.21347531582446808,0.2455119680851064,0.2773501911569149,0.27657621343085104,0.2792256067154255,0.15209503823138298,-0.035635452447172665,0.4212300936801799,949.625,31.407083333333333,63.614583333333336
